Classificador,Media,Minimo,Maximo,Mediana,Desvio Padrão,Tempo (s),Pct inv falhou
Quadrático,2.9091,0.0000,12.1212,3.0303,3.0279,22.5748,0.0
Variante 1,81.5152,66.6667,90.9091,81.8182,5.7576,19.7754,0.0
Variante 2,5.4545,0.0000,15.1515,6.0606,4.1989,18.1405,0.0
Variante 3,3.5152,0.0000,9.0909,3.0303,2.8658,12.1572,0.0
Variante 4,54.4242,36.3636,69.6970,57.5758,8.3311,5.5071,0.0
DMC,78.3030,66.6667,90.9091,78.7879,5.8559,0.0207,N/A
1NN,78.0606,57.5758,90.9091,78.7879,6.7095,0.0846,N/A
Máxima Correlação,78.4242,63.6364,96.9697,78.7879,7.6335,0.0094,N/A
