Classificador,Media,Minimo,Maximo,Mediana,Desvio Padrão,Tempo (s),Pct inv falhou
Quadrático,6.1212,0.0000,15.1515,6.0606,3.7109,197.7984,96.39999999999998
Variante 1,79.7576,60.6061,96.9697,78.7879,7.2838,120.6478,0.0
Variante 2,2.7273,0.0000,12.1212,0.0000,3.7970,110.0496,0.0
Variante 3,2.0000,0.0000,9.0909,0.0000,2.6145,109.8343,0.0
Variante 4,59.1515,42.4242,72.7273,57.5758,8.2264,98.5548,0.0
DMC,76.7879,60.6061,93.9394,78.7879,6.9792,0.0389,N/A
1NN,79.8788,60.6061,90.9091,81.8182,6.0533,0.4842,N/A
Máxima Correlação,76.4242,60.6061,87.8788,77.2727,6.2188,0.0160,N/A
