Classificador,Media,Minimo,Maximo,Mediana,Desvio Padrão,Tempo (s),Pct inv falhou
Quadrático,7.5152,0.0000,18.1818,6.0606,3.8920,189.2747,96.93333333333332
Variante 1,81.7576,66.6667,90.9091,83.3333,5.8600,107.7978,0.0
Variante 2,3.8788,0.0000,12.1212,3.0303,3.6885,105.1006,0.0
Variante 3,2.4242,0.0000,9.0909,3.0303,2.4989,106.3598,0.0
Variante 4,60.8485,33.3333,78.7879,60.6061,9.7129,104.9209,0.0
DMC,76.5455,60.6061,87.8788,77.2727,6.5502,0.0341,N/A
1NN,81.3333,60.6061,93.9394,81.8182,6.5656,0.5165,N/A
Máxima Correlação,77.2121,60.6061,93.9394,75.7576,7.1258,0.0165,N/A
